Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
DB5C7A38682220A648B9DA7964B252D846B03084_1647243589,03/14/2022 07:39:49 AM +0000,Crash Urgent,"(30.220212,-97.70708)",30.220212,-97.70708,2500 Montopolis Dr,ARCHIVED,03/14/2022 08:00:03 AM +0000
3429E6FF2453B636C76961E066DA7C3CFA5BB260_1647242723,03/14/2022 07:25:23 AM +0000,COLLISION WITH INJURY,"(30.249375,-97.606178)",30.249375,-97.606178,0 S SH 130 NB TO FM 969 RD RAMP,ARCHIVED,03/14/2022 08:30:04 AM +0000
7EFCFF1109F39E9E6E7DE0CCA5E32B3ED88FCDC9_1647245848,03/14/2022 08:17:28 AM +0000,Crash Urgent,"(30.314745,-97.720788)",30.314745,-97.720788,5105 AVENUE H,ARCHIVED,03/14/2022 11:40:03 AM +0000
4A1432C03DFFE532268819E1F8AB3083818ACE50_1647258920,03/14/2022 11:55:20 AM +0000,Crash Service,"(30.391289,-97.829776)",30.391289,-97.829776,8822-9815 Fm 2222 Rd,ARCHIVED,03/14/2022 12:30:04 PM +0000
80D5B2A867B21E37CD472071370518DF40FA4F01_1647256894,03/14/2022 11:21:34 AM +0000,COLLISION,"(30.157092,-97.71545)",30.157092,-97.71545,7900 E WILLIAM CANNON DR,ARCHIVED,03/14/2022 01:00:03 PM +0000
ADD97DAEFA483805F4A52716BA886AC2D97841B3_1647257128,03/14/2022 11:25:28 AM +0000,COLLISION,"(30.257824,-97.612754)",30.257824,-97.612754,11400 FM 969 RD,ARCHIVED,03/14/2022 01:15:03 PM +0000
C94C3FF3186FA0560180BA638775323FC4895576_1647259405,03/14/2022 12:03:25 PM +0000,Crash Urgent,"(30.394577,-97.653228)",30.394577,-97.653228,1100-1309 Pearl Retreat Ln,ARCHIVED,03/14/2022 01:30:04 PM +0000
789BA1DFC0C3EDD84FE9E1371A0A97B514A5EFE6_1647263646,03/14/2022 01:14:06 PM +0000,COLLISION,"(30.263045,-97.608017)",30.263045,-97.608017,4600-6409 N Fm 973 Rd,ARCHIVED,03/14/2022 01:35:03 PM +0000
7B29CAD78DEA41563D78F9A1256DD06B251D809B_1647263524,03/14/2022 01:12:04 PM +0000,Crash Urgent,"(30.440442,-97.698801)",30.440442,-97.698801,N Mopac Expy Svrd Sb & W Howard Ln,ARCHIVED,03/14/2022 01:50:02 PM +0000
F036D211DB09AD5A6BAD7E6BF7EDF80C7C1B9511_1647264611,03/14/2022 01:30:11 PM +0000,COLLISION,"(30.444391,-97.709916)",30.444391,-97.709916,4600 W HOWARD LN,ARCHIVED,03/14/2022 01:55:03 PM +0000
FA59FADCBF0CEF35D5DFDA0B2B7308474E16F44E_1647263834,03/14/2022 01:17:14 PM +0000,COLLISION WITH INJURY,"(30.251185,-97.595808)",30.251185,-97.595808,4600 Gilbert Rd,ARCHIVED,03/14/2022 02:25:03 PM +0000
937E42740E2AF2C49128A1E6DFA59A3EFC9149CE_1647263877,03/14/2022 01:17:57 PM +0000,Crash Urgent,"(30.325943,-97.726336)",30.325943,-97.726336,W Koenig Ln & N Lamar Blvd,ARCHIVED,03/14/2022 02:25:03 PM +0000
30C7F38CFAC4993FB952CB0919DC36471D0B1F6F_1647262487,03/14/2022 12:54:47 PM +0000,Crash Service,"(30.226995,-97.726668)",30.226995,-97.726668,2510-2519 E Oltorf St,ARCHIVED,03/14/2022 02:40:04 PM +0000
C92F34C01E24476CD2D063505C71FA32574481B1_1647269153,03/14/2022 02:45:53 PM +0000,Crash Urgent,"(30.260594,-97.793314)",30.260594,-97.793314,1700 S MOPAC EXPY NB,ARCHIVED,03/14/2022 04:10:03 PM +0000
77DA394B0E2560ECA0E20487E7441C5BFB5770BC_1647264092,03/14/2022 01:21:32 PM +0000,Crash Urgent,"(30.227028,-97.790157)",30.227028,-97.790157,Menchaca Rd & Cimarron Trl,ARCHIVED,03/14/2022 02:50:04 PM +0000
1AD6ED936CCF88EEDCFFBB7AC382AA5A4FE342AE_1647268062,03/14/2022 02:27:42 PM +0000,COLLISN/ LVNG SCN,"(30.373414,-97.884244)",30.373414,-97.884244,12100 Portobella Dr,ARCHIVED,03/14/2022 02:50:04 PM +0000
D9D1492C96AD97F85C42C0A1B99E8CD57E8DCE2E_1647269577,03/14/2022 02:52:57 PM +0000,Crash Urgent,"(30.323625,-97.773092)",30.323625,-97.773092,3402 Mount Bonnell Cir,ARCHIVED,03/14/2022 03:40:03 PM +0000
CBF66D9068A45E5BAB15D71763BE5BFF61B52C19_1647271989,03/14/2022 03:33:09 PM +0000,Crash Service,"(30.352448,-97.795281)",30.352448,-97.795281,N CAPITAL OF TEXAS HWY SB & COURTYARD DR,ARCHIVED,03/14/2022 04:05:03 PM +0000
5275AA6E7680CE5BA67569B23119BDA775D6C41F_1647274979,03/14/2022 04:22:59 PM +0000,COLLISION WITH INJURY,"(30.121049,-97.715195)",30.121049,-97.715195,9900-10409 FM 1625 RD,ARCHIVED,03/14/2022 05:20:04 PM +0000
1D3309AE08FFC29BCA69577541E57D3D5AB66341_1647272931,03/14/2022 03:48:51 PM +0000,COLLISION,"(30.490253,-97.924734)",30.490253,-97.924734,Deer Canyon Rd & Fm 1431 Rd,ARCHIVED,03/14/2022 04:40:03 PM +0000
EAE18E90C55AFEFAE7F95DF6164CF084AC2FBC54_1647269627,03/14/2022 02:53:47 PM +0000,Crash Urgent,"(30.233867,-97.864836)",30.233867,-97.864836,6301-6333 W William Cannon Dr,ARCHIVED,03/14/2022 05:00:04 PM +0000
